昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
屯云 紫微 阁|叠壁 九重 城|更挹 浮丘 袂|端令 俗眼 惊
北焙 今年 但取 陈|草芽 过了 二分 春|为君 湔洗 丁坑 后|宝胯 云团 一样 新
欲求 褒贬 明 千古|直把 穷通 托 二仪|多谢 高篇 远 相劳|召南 风格 本 王基
老龟 岂羡 牺牲 饱|蟠木 宁争 桃李 春|随分 自安 心 自断|是非 何必 问 闲人
十年 吾共 师 田水|并世 谁同 饱 蕨芽|哀郢 湘累 称揽 揆|椎秦 博浪 不为 家
钟残 漏尽 五更 天|绮阁 吟诗 尚未 眠|一阵 暗香 风送 到|梅花 窗外 雨 绵绵
烟霞 洞里 怀沙 近|诗礼 庭前 裕圣 修|到得 俗缘 全 放下|岂无 骑鹤 跨 扬州
书生 会击 单于 颈|壮士 谁舂 长狄 喉|快使 营平 归 印绶|貂蝉 敢望 出 兜鍪
相逢 无可 投湘 佩|行路 何人 赋礼 魂|滔逝 年年 墟里 异|碧天 春水 荐 溪荪
年时 清话 几 黄昏|双桂 亭前 竹外 门|离合 盛衰 方 感旧|忽逢 新句 动 诗魂
多情 调 玉烛|作意 耻 金罍|授简 何 容易|相如 欲 到来
休问 功名 千古 后|且欣 花月 一樽 同|明朝 太史 应 驰奏|寿象 联珠 见 甬东
清斋 忘 肉味|断酒 见 天真|羡尔 伊蒲 俎|调从 举案 人
青梅 如豆 带烟 垂|紫蕨 成拳 著雨 肥|只有 小桥 杨柳 外|杏花 未肯 放春 归
草玄 多暇 此 徘徊|旧种 双桐 覆奕 台|德比 三槐 名相 后|词怜 丛桂 小山 才
京寺 别来 久|高斋 近 海隅|引禅 秋磬 动|照像 夜灯 孤
彩索 金为 缕|香粳 玉作 团|从今 逢 午节|岁岁 奉亲 欢
不到 家山 二十 春|康强 又度 古稀 旬|怕因 乡饮 推 三老|认作 当年 绛县 人
禽鸣 滑滑 溅 泥涂|赖有 云巢 眼 不孤|天外 黑风 迷 鹫岭|槛前 流水 忆 鹅湖
拥褐 入 三昧|超然 心地 初|那知 庵 外事|人境 两 如如
江路 策云 香在 手|溪桥 挑月 影随 人|归来 却笑 林 和靖|还现 堂中 上座 身
秋来 举盏 尚能 空|日日 东篱 绕 晚丛|老去 诗人 似 残菊|经霜 被酒 不成 红
渡传 桃叶 咏|门听 竹枝 词|何日 山阴 棹|溪堂 见 戴逵
郎君 到底 亦 何知|夺卷 书生 真 数奇|恶语 故应 多 艾气|残藤 无用 写 来诗
天南 双鹄 去|予病 不能 偕|今夕 梦 中地|十年 江 上怀
江天 新霁 好|林表 暮 光分|斜日 映 残雨|清风 卷 乱云
贝阙 岧峣 不可 攀|遥分 绛节 下 人间|起元 立道 几 千岁|择胜 栖神 第 一山
束发 虽同 俗|安心 只 杜门|傲能 群 鹿豕|贫懒 察 鸡豚
昔在 梅花 国|今为 绣阁 珍|复归 纤手 上|香稻 使情 新
多谢 徽州 吴 使君|新诗 问劳 意何 勤|无求 已得 心空 乐|更作 无心 出岫 云
林暗 幽光 起|楼高 碧落 通|微风 成 独夜|凉月 亦 凌空
往来 道路 好 歌谣|不问 南朝 与 北朝|但愿 千年 更 万岁|欢娱 长祇 似 今朝
胜地 纡 佳客|高秋 会 赏心|返霞 延 落照|馀岫 补 疏林
碧海 仙山 拂 太微|春风 蟠木 发 瑶池|人间 日月 知 多少|坐见 高花 烂漫 时
旦夕 醉吟 身|相思 又此 春|雨中 寄书 使|窗下 断肠 人
斜日 沧江 岸|寒烟 独树 村|空阶 余 鸟迹|落日 满 柴门
人以 风姿 胜|梅将 雪意 争|知君 定 怀我|株坐 或 遐征
喜看 三害 乡关 去|再见 单车 渤海 平|自此 士民 歌 盛德|于今 无复 虎 纵横
衣湿 胡尘 雨|毡寒 塞草 春|何时 老 乡国|白发 照 麒麟
河汉 低 逾润|江潮 夜 未平|巫云 莫 吹笛|吾意 正 凄清
太史 经 邹峄|离骚 感 楚臣|谁知 梦奠 日|曾忆 后 庚申
君甘 离索 今犹 昔|我任 飘零 西 复东|未死 名心 长短 句|已通 世法 马牛 风
蚨飞 蝶化 形 都幻|狗苟 蝇营 状 可怜|榆荚 在山 荷 在水|枉将 虚象 著 圆圆
诘朝 持 郑酝|向夕 望 星津|俗意 愿 添巧|古心 思 变淳
旅中 人 远别|河上 酒 频行|暖日 开花 信|高风 去雁 声
乞得 天公 五亩 春|暂抛 手板 著 纶巾|搴花 露粉 频 沾袖|洗竹 山光 忽 傍人
入市 虽 求利|怜君 意独 真|斸将 寒涧 树|卖与 翠楼 人
中原 从 逐鹿|吾党 各 飞鸿|厨俊 相看 尽|幽人 得桂 丛
风驭 随 灵雨|神山 出 太虚|谁纾 隆准 恸|哀语 散 琼琚
野步 僧 同话|宵吟 吏 废眠|思君 还有 梦|前到 钓台 边
朕验 鱼羊 谶|悲深 鹿豕 游|笺天 惟 洒泪|画土 得 埋忧
英灵 传 草树|冠盖 逐 丘墟|欲问 当时 事|飞云 灭 太虚
邛杖 扶 相称|唐衣 戴 最宜|笑他 蝉冕 客|忧畏 白 须眉
云敛 山 争出|潮生 水 逆流|平生 得意 处|杯酒 凭 江楼
轻裘 缓带 一 儒生|万里 从戎 事远 征|岂是 豺狼 能肆 恶|祇因 星斗 暂回 明
我屋 堪全 华|君轩 半 卧云|酒醒 云散 后|开卷 忽 逢君
宫府 相图 势 不收|国家 何有 各 身谋|纵无 管蔡 当时 例|业已 弯弓 肯 罢休
万里 洪涛 白|三春 孤岛 青|到宫 方 奏对|图像 列 王庭
峡中 无 白日|当昼 亦常 昏|雨急 瀑 争地|峰阴 云 出门
绕江 生 杜若|满地 长 辛夷|剪草 涂 新壁|褰藤 缚 旧篱
晨驾 旌旄 列队 行|龙旗 遥映 凤城 明|护霜 云外 天颜 碧|笼水 烟边 山色 青
道骨 清 如玉|闲拳 瘦策 时|钝根 并 鹘眼|到此 自分 岐
渐老 绿阴 天|无家 怯 杜鹃|东风 有 今夜|芳草 又 明年
玉殓 知无 有|香魂 计 已销|频来 吟 楚些|岁久 若为 招
理明 洛学 知翁 少|表慕 泷冈 有子 贤|人物 如斯 埋玉 去|病违 执绋 泪 潸然
春工 试手 雨 初晴|遥见 莓莓 曲埭 青|间道 东陂 新涨 好|来将 衰发 照 星星
十年 走 尘土|重上 竹西 亭|草木 新 容态|江山 旧 典刑
林中 有 奇石|髣髴 兽 潜行|乍似 依 岩桂|还疑 食 野苹
诗界 犹堪 张 一军|北园 花木 更 清芬|山河 历劫 杯 长在|风雨 联吟 砚 未焚
从军 不愿 赏|归补 万松 栽|独作 渔樵 计|安知 婚嫁 催
双睛 点漆 面 凝酥|笑靥 愁蛾 一世 无|愿作 君家 扫除 隶|一生 长拜 美人 图
思归 恨臂 不成 翰|却笑 谁令 汝 出山|梦暂 得归 归 未得|且编 归梦 寄书 还
万里 龙沙 古 战场|荒台 残垒 望 苍苍|雪中 衰草 连天 白|塞上 愁云 匝地 黄
锁闼 堆 黄纸|金华 叠 细旃|夺公 何太 速|谁与 问 苍天
蓬屋 孤清 烟 袅袅|竹排 闲静 水 涓涓|分明 一幅 春光 画|描出 江村 二月 天
烟湿 高吟 石|云生 偶坐 痕|登临 有 新句|公退 与谁 论
绛幔 谈经 日|熊丸 茹苦 时|屡修 堂上 拜|亲炙 母中 师
觅句 无 新语|怀人 有 故情|归音 苏 酒渴|诗法 酿 秋清
三生 戒老 诗 堪画|千古 长庚 笔 有神|不用 临风 叹 奔逸|箪瓢 一笑 舜 何人
永夜 焚香 侍 碧坛|七星 高曜 紫霄 端|徘徊 似有 真 霞降|风露 凄凄 沆瀣 寒
示病 维摩 元不 病|在家 灵运 已忘 家|何须 魏帝 一 丸药|且尽 卢仝 七碗 茶
火灭 窗晴 冷 似冰|随时 活计 自 修行|客来 若问 真 消息|只有 观音 自 证明
记从 深 雪夜|来访 子 云居|一见 旋 分袂|三年 不 得书
偃息 三年 计|炎歊 六月 无|跧藏 晦 疏拙|违俗 任 卢胡
浯溪 山水 今 无恙|浪士 曾为 烂熳 游|大字 中兴 馀 断碣|小舟 空此 醉 垂钩
折芳 归 艺圃|剩馥 入 诗脾|粉省 他年 事|清名 当 自期
南园 旧 诗社|潘子 此 翱翔|城树 标吟 出|渠花 引步 香
斯人 不 可见|一代 失 风流|未就 黄金 药|先成 白玉 楼
莎径 荒寒 闻 鹤唳|竹丛 摇落 见 渔舟|一声 横笛 碧天 暮|诗在 沧波 芦荻 洲
登临 应 堕泪|行坐 每 沉吟|可惜 咸阳 市|徒捐 一字 金
风絮 萦寒 昼 拥炉|枝头 犹得 暗香 馀|折来 不拟 供 尊俎|静对 翛然 一榻 书
几年 文字 齿 将刓|驷马 今游 一驻 鞍|自笑 不如 虎贲 士|翻令 捉臂 笑 儒冠
冉冉 天时 逼|悠悠 人事 催|坐观 群 物变|又见 一 阳回
匣藏 防身 剑|案有 读书 檠|此外 唯 尊酒|时时 唤客 倾
一觞 相属 对 江梅|玉麈 清谈 得 重陪|不似 稽山 寻 贺老|越溪 空掉 酒船 回
两年 梦寐 记 冰姿|再挹 丰标 胜 旧时|形秽 自怜 吾 更老|味同 乃幸 独 相知
别院 焚香 绣幕 垂|检书 看剑 慰 愁思|鼎铭 郑重 忧 糊口|舆论 荒唐 笑 相皮
年齿 吟 将老|生涯 说 可悲|何当 抛 手板|邻隐 过 危时
初学 宫妆 百媚 生|天然 丰韵 出 华清|冰霜 怀抱 浑 忘冷|铁石 心肠 亦 动情
过海 独辞 王母 面|度关 谁识 老聃 身|儒生 也爱 长生 术|不见 人间 大笑 人
岭海 经行 涉 两年|篮舆 触热 道 龙川|只愁 青草 黄茅 瘴|敢意 好风 佳月 天
上有 三兄 小|中多 一母 私|羽毛 成立 日|吾已 杖朝 期
儿扶 行饭 出 柴扉|伛偻 方嗟 气力 微|道侧 偶逢 耘麦 叟|倚锄 闲话 两 忘归
弯弓 直射 石为 虎|鸣剑 偏惊 津跃 龙|神化 从来 输 造物|残云 可复 起 奇峰
上问 安南 事|安南 风俗 淳|衣冠 唐 日月|礼乐 舜 乾坤
祇言 城市 无 佳处|亦有 南湖 几度 游|好雨 晴时 三月 尽|啼莺 到后 百花 休
奕世 台衡 贵|盈门 绂冕 荣|遐方 流 惠化|殊俗 詟 威声
梦断 香消 四 十年|沈园 柳老 不吹 绵|此身 行作 稽山 土|犹吊 遗踪 一 泫然
光武 中兴 三 十年|愈民 痼疾 发 灵泉|吾皇 何止 如 光武|瑞井 宜通 瑞锦 边
高僧 已送 鹅翎 白|好客 仍分 鹤顶 红|秋日 两株 开 烂熳|晚花 原不 嫁 东风
一夕 狂飙 碎 玉芝|盈盈 十五 好 年时|王侯 邸第 连云 起|风烈 何人 识 定儿
浓绿 园林 晓雨 新|莺啼 近树 不 疑人|千枝 罂粟 红 如锦|谁谓 侬家 已 送春
老眼 逢人 少|中年 万虑 灰|此身 随 所寓|何必 问 蓬莱
此道 昔 归顺|西郊 胡 正繁|至今 残 破胆|应有 未 招魂
薪刍 聚 津口|箫鼓 闹 林中|乌桕 禁 愁得|来朝 数叶 红
曲池 流水 细 鳞鳞|高会 传觞 似 洛滨|红粉 翠蛾 应不 要|画船 来往 胜 于人
惊坐 初 雷殷|虚怀 永夜 怡|同声 堪 异响|故友 合 新知
彦聚 有英 伦|公馀 无杂 宾|一樽 云 送液|寸玉 雪 先春
老去 心 何用|题诗 满 粉墙|空庭 夜 待月|静室 昼 焚香
吟对 西风 怜我 瘦|梦怀 阴雨 竟谁 来|横空 片片 晴 云影|青眼 曾无 白昼 开
历历 白榆 动|漙漙 苍藓 滋|纳凉 看 不厌|但觉 漏 频移
茗椀 味 能永|竹风 声 更幽|平生 版 庵老|得句 似 汤休
磊落 封章 轰 宇宙|凄凉 遗墨 化 云烟|我怀 千古 中原 恨|几度 经行 涕泗 连
门刺 通 文举|碑辞 识 太丘|岁星 无 物色|随地 足 沈浮
菡萏 晚花 香 未减|梧桐 病叶 堕 无声|关河 又见 新秋 近|屈指 流年 一叹 惊
绝塞 无烽 紫气 浮|一时 轩盖 愧 同游|使星 天地 看 仍聚|子夜 招寻 醉 未休
雨雪 经 旬日|浑天 白屋 贫|催租 能 劝酒|读史 忽 怀人
晓发 嘉兴 府|人家 门 未开|闸关 船侧 过|水涨 堰平 推
太守 持 斋戒|精诚 动 九天|骄阳 变 霖雨|凶岁 转 丰年
皎洁 偏 宜月|横斜 最 可人|翠翘 深 避迹|挥断 五香 尘
仙人 迷 宝砦|边士 戍 莲花|谁在 崆峒 里|幽栖 餐 紫霞
晚得 田园 趣|平居 乐 有馀|好贤 闻 善道|奉佛 契 真如
花露 时翻 鹊|风江 有去 舟|移愁 拌 看汝|扶影 傍 南楼
膝前 彩戏 能忘 远|天上 鸿恩 甫及 申|无计 奋飞 空 刺促|迢迢 归梦 舞衣 新
极乐 三军 士|谁知 百 战场|无私 齐 绮馔|久坐 密 金章
月中 香 冷澹|雪后 意 清孤|长忆 山房 外|临溪 有 一株
朝朝 两两 下 平沙|添得 湖中 景趣 嘉|碧卵 从今 生育 去|便堪 装点 作 渔家
日月 随人 老|杯盘 且自 歌|亲知 余未 反|休更 倚门 多
入夜 潮 侵户|经秋 雨 坏垣|里人 淳 少讼|田父 醉 多言
南北 风尘 一骑 驰|繁华 如梦 可胜 悲|后人 不解 邯郸 枕|秋草 茫茫 拜 古祠
节里 听 儿辈|杯行 话 日期|别来 三 剥粽|忆著 四 颁衣
五校 连旗 色|千门 叠鼓 声|金环 如有 验|还向 画堂 生
开堂 临水 裔|一舫 亦 吾家|冈隐 疑 华子|溪回 似 若邪
胡儿 雪后 试弓 初|寒雁 惊飞 绕 碧虚|傍月 悲鸣 过 海曲|断风 残韵 彻 庭除
萧萧 秋意 早|采采 露华 鲜|贫谢 侏儒 甚|烦君 慰 眼前
吟罢 且邀 渔父 唱|酒酣 便倚 石梁 眠|霓虹 隔岸 如星 海|无限 风情 不夜 天
月上 分题 遍|钟残 布子 匀|忘餐 二 绝境|取意 铸 陶钧
荷老 难 擎露|水清 偏见 鱼|好磨 青玉 觜|一饱 更 何如
寒云 淰淰 碧峰 攒|木叶 惊风 下 急湍|何处 山人 残照 里|罢琴 犹向 隔江 看
提司 坑冶 是新 差|职比 催纲 胜 一阶|若发 荐章 求 脚色|下官 踪迹 转 沉埋
放溜 轻舠 掠 晚沙|时时 波底 碎秋 霞|清阴 十里 堪 乘兴|疑到 江东 安 道家
青海 战云 临 贼垒|黑山 飞雪 洒 貂裘|丈夫 有志 终难 料|憔悴 渔村 死 即休
远岫 分 苍紫|澄波 映 渺茫|此身 萍梗 尔|泊处 即 吾乡
此地 无山 喜有 台|南瞻 北眺 两 宜哉|衰翁 无事 日 倾倒|佳客 何人 时 一来
苍林 翠碧 龙岩 寺|县令 三年 两度 来|从此 岩前 花与 草|只今 时与 梦 徘徊
瀑雪 飘空 下|松风 杂响 来|此时 欹枕 听|赋罢 兴 悠哉
翠微 宫殿 俯 危峦|岭坂 逶迤 更 几盘|天近 扶桑 长 不夜|月明 瑶草 易 生寒
羲爻 始叶 包蒙 吉|韩奕 多承 缵祖 篇|若使 析薪 讥 可免|钓竿 吾在 五湖 船
吏隐 中书 省|愁心 上水 船|年来 共 酬唱|掩卷 各 凄然
青云 随步 觉 身高|燕雀 卑飞 不敢 巢|民屋 万家 都 下瞰|栏干 迢递 出 林梢
案头 经 尚在|箱内 药 初陈|至日 西门 外|无非 送葬 人
朝市 笙歌 夜|江湖 鸥鹭 林|故人 有书 至|敲韵 和 幽襟
石门 山下 酌 贪泉|水陆 长驱 不计 年|臧否 有评 惭 月旦|浮沉 何处 问 桑田
蓂荚 初传 七叶 开|羹烹 杂菜 写穷 杯|半轮 新月 欺 霜鬓|愁绝 春风 向老 催
多慵 如 长傲|久住 不 生根|曾问 兴亡 事|丁宁 寄 勿言
草茅 书就 张 天觉|鹦鹉 才高 祢 正平|秋好 会当 随 计吏|骏金 还自 重 燕城
不用 开 书帙|偏宜 上 酒楼|故人 京洛 满|何日 复 同游
崔嵬 一寺 上 何穷|满眼 烟光 入 梵宫|流水 尽归 空寂 里|远山 犹在 有无 中
穷骨 支离 甚|危肠 感激 多|人生 易 日月|世路 苦 风波
羽客 炼丹 井|井留 人 已无|旧泉 青石 下|馀甃 碧山 隅
节序 关 何事|徒令 百感 生|升沉 当世 事|存殁 故人 情
子舍 竞 诜诜|号天 日月 昏|有绡 传 秀像|无药 反 英魂
遂违 杯酒 约|空枉 夜珠 投|旅宿 蒹葭 外|伊人 不易 酬
白浪 连 天地|萧条 战伐 尘|驱除 民 有主|割据 尔 何人
定石 沾 花雨|清斋 带 病颜|常云 迷 觉路|只在 片言 间
柳畔 花边 醉 复醒|乾坤 消息 不曾 停|明朝 莫道 春 归去|芳草 窗前 照旧 青
野梅 香入 寺门 烟|雪落 亭皋 正 渺然|敢恨 新年 羁 水国|谁能 元日 看 江天
聚薪 然火 烛 天衢|一妪 鸣金 猫女 趋|三椀 鲸吞 齐 赐酒|合围 挽手 共 歌呼
曲江 欢宴 侍 华裾|舞拍 琴歌 艺 有馀|独有 纯臣 王 叔宝|解陈 封禅 一篇 书
白露 下山 城|秋风 一夕 生|远山 晴 若近|微日 晦 还明
见我 君应 怪|真成 漫 浪游|寸心 悬 魏阙|孤棹 问 江头
管领 神仙 侣|追陪 山长 家|往来 惟 意适|歌舞 对 年华
不作 多闻 士|难尤 造物 儿|傥能 三耳 出|更诵 五言 诗
泛渚 可能 期 太乙|占星 还欲 摘 匏瓜|丹砂 未就 残 双鬓|此夕 秋思 未有 涯
拨弓 试复 穿杨 叶|负鼎 何妨 待鹄 羹|不似 淮阳 多病 守|十年 卧合 见 交情
水清 鱼戏 藻|花落 蝶愁 香|剪烛 西窗 里|无妨 入 醉乡
篱落 牵牛 又 著花|摘花 心在 鬓先 华|故园 红染 姜丝 在|安得 缄封 寄 客槎
鸦宿 腥 林径|龙归 损 塔轮|却疑 成 片石|曾坐 谢公 身
遥闻 境会 茶山 夜|珠翠 歌钟 俱 绕身|盘下 中分 两州 界|灯前 合作 一家 春
自是 三郎 溺 燕私|千年 祸水 说 蛾眉|骊姬 杀子 九龄 去|妾在 寿王 宫里 时
诗有 同声 和|人皆 雅量 宜|共兹 三 不朽|结作 两 相思
道在 鬼神 常 共在|术穷 天地 本 无穷|三才 并处 君 知否|不尔 何裨 造化 工
岭云 晴锁 戟 枝寒|善病 时闻 独 禁酸|峻阅 已承 三世 诰|殊恩 应授 两仙 丸
月露 今宵 朗|衾单 昨夜 寒|团圆 应 一样|总异 故乡 看
箫鼓 中流 杂 棹歌|仙郎 拥传 下 牂牁|百年 词赋 题 金马|万里 风烟 阻 石螺
长日 消 棋局|微风 引 酒杯|浮云 满 西北|容易 雨 飞来
泰山 兼 鲁望|积水 与 河通|月白 开 鲛室|天青 出 贝宫
金橘 悬 衣桁|银荷 汎 酒舲|双鬟 筝 一曲|明婳 亦 堪听
抱玉 君徒 泣|分金 我尚 贫|明珠 原有 价|珍重 苦吟 身
玉溪 溪上 雨声 干|日暮 东风 客 衲寒|数树 梅花 吹作 雪|行人 犹自 倚 阑干
挥金 屡费 青钱 万|种玉 亲收 白璧 双|一卧 遽先 朝露 尽|便随 晨鼓 去 逢逢
茅檐 午影 转 悠悠|门闭 青苔 水 乱流|百啭 黄鹂 看 不见|海棠 无数 出 墙头
寒士 邀 同学|单门 与 议婚|定知 千载 后|犹以 陆名 村
国启 重 雍祚|天推 太极 尊|夏祠 今 化石|尧母 旧 题门
可人 无 俗韵|之子 故 清门|直节 豫章 后|高名 唯室 孙
麋鹿 只同 猿鹤 伴|花林 不耐 雀鸦 攒|何时 把酒 西山 下|闲看 杉松 度 岁寒
金貂 清切 近 三台|招骏 应烦 楚甸 来|汤沐 山川 王气 在|烟花 楼阁 大江 开
海阳 天外 已 伤怀|白水 墙头 转自 哀|却是 人生 难得 好|两年 只见 哭 声来
木脱 山中 屐|高怀 见玺 卿|梧江 清瘴 远|莲社 碧云 生
踏水 回 金勒|看风 试 锦裘|知君 不 久住|汉将 扫 旄头
月上 骊宫 晓|莲开 水府 春|主人 能 息虑|四座 绝 风尘
林空 答 清唱|潭净 写 衰容|归去 瑶台 路|还应 月下 逢
俭德 闻 中外|徽音 继 葛覃|化行 人自 劝|何待 讲 亲蚕
长桥 身作 长城 梦|南五 湖天 北 济淮|重听 吴歈 怜我 老|忆骑 塞马 与君 偕
当年 江上 一竿 青|老尽 羊裘 两鬓 星|往事 成尘 遗迹 在|石痕 齿齿 水 泠泠
盛名 从昔 起 寒微|逆旅 萧条 未必 非|政可 夜楼 观 月落|不应 晓枕 叹 霜飞
艳舞 全知 巧|娇歌 半欲 羞|更怜 花月 夜|宫女 笑 藏钩
鸣凤 来仪 瑞 翠巅|洞中 阻隘 石门 全|傍通 小径 无穷 极|溜响 玎珰 有穴 泉
夙昔 热中 士|少年 重有 君|楼成 无 卧客|塞上 有 空群
疏帘 三面 卷 斜阳|茗碗 间携 话 晚凉|络纬 数声 秋 已至|一庭 清露 玉簪 香
衰草 含烟 天 漠漠|空林 落叶 雨 霏霏|伤情 更有 山阳 笛|吹彻 梅花 未忍 归
我到 家山 雪尚 飞|看看 寒食 展 归期|花开 无酒 蝶 贻笑|春尽 不吟 莺 有辞
五岭 烟霞 老 葛巾|临行 把袂 各 酸辛|汝归 应访 吾 诸弟|篱下 黄花 少 一人
前衔 新命 俱 郎宿|处士 儒冠 总 少微|林下 若逢 龙 阁老|为言 台岭 转 光辉
归来 东阁 外|旧业 未全 贫|醉卧 草为 藉|醒来 花满 身
个是 群中 穴鼻 牛|去无 所犯 住 无留|须弥 南畔 封疆 阔|水草 纵横 得 自由
残史 有期 成 汗简|修门 即日 挂 朝衣|人生 念念 皆堪 悔|敢效 渊明 叹 昨非
月破 残云 出|清光 上 几筵|溪喧 鱼唼 藻|窗暗 柳垂 烟
眼法 穷 山脉|囊经 挂 杖头|卜吾 新筑 处|相伴 得 沙鸥
窻隙 为增 薄裳 冷|柝声 偏动 旅囚 愁|有时 圣主 洪恩 诏|渭水 相将 理 钓钩
又委 松 云去|松云 万壑 新|偶然 为我 有|足以 见师 真
舞蝶 留 疏影|歌莺 弄 落晖|徘徊 溪 路转|携手 送 云归
春光 惟 晓际|花柳 暂 逢迎|嫩绿 殊 轻薄|妖红 遂 满盈
批风 抹月 五 经年|吟尽 淮南 尽处 天|独与 元之 韩 魏国|神交 千古 作 三贤
御沟 梅柳 寒犹 噤|芳草 池塘 暖 尚微|玉色 怡融 何事 喜|一年 苔绿 遍 圜扉
夜雨 青枫 路|秋风 白豆 家|醉眠 三户 酒|吟谢 一篱 花
一水 穿崖 去|孤云 带鸟 还|津梁 疲 卧佛|徒慨 栈行 艰
